Date/Time, Wind Speed
4-29-16 12:00 AM,0.9
4-29-16 12:00 AM,0
2-5-16 12:00 AM,0.4
2-5-16 12:00 AM,1.8
2-5-16 12:00 AM,3.1
3-5-16 12:00 AM,0.9
3-5-16 12:00 AM,0.9
3-5-16 12:00 AM,2.2
4-5-16 12:00 AM,1.8
4-5-16 12:00 AM,0.9
4-5-16 12:00 AM,0
4-5-16 12:00 AM,3.6
5-5-16 12:00 AM,1.3
5-5-16 12:00 AM,1.8
5-5-16 12:00 AM,1.8
6-5-16 12:00 AM,1.3
6-5-16 12:00 AM,0
6-5-16 12:00 AM,4.5
6-5-16 12:00 AM,1.8
7-5-16 12:00 AM,0
7-5-16 12:00 AM,1.3
7-5-16 12:00 AM,0.9
7-5-16 12:00 AM,1.3
8-5-16 12:00 AM,3.1
8-5-16 12:00 AM,0.9
8-5-16 12:00 AM,3.6
8-5-16 12:00 AM,4.5
9-5-16 12:00 AM,3.1
9-5-16 12:00 AM,1.8
9-5-16 12:00 AM,3.1
9-5-16 12:00 AM,4
10-5-16 12:00 AM,1.3
10-5-16 12:00 AM,2.7
10-5-16 12:00 AM,1.8
11-5-16 12:00 AM,0
11-5-16 12:00 AM,1.3
11-5-16 12:00 AM,1.3
11-5-16 12:00 AM,0
12-5-16 12:00 AM,0
12-5-16 12:00 AM,1.3
12-5-16 12:00 AM,3.1
5-13-16 12:00 AM,3.1
5-13-16 12:00 AM,0
5-13-16 12:00 AM,1.8
5-13-16 12:00 AM,2.7
5-14-16 12:00 AM,0
5-14-16 12:00 AM,0.4
5-14-16 12:00 AM,0
5-16-16 12:00 AM,1.8
5-16-16 12:00 AM,0
5-16-16 12:00 AM,0
5-17-16 12:00 AM,0.4
5-17-16 12:00 AM,0
5-18-16 12:00 AM,4
5-18-16 12:00 AM,0
5-18-16 12:00 AM,1.3
5-19-16 12:00 AM,0.4
5-19-16 12:00 AM,0.9
5-19-16 12:00 AM,0.4
5-19-16 12:00 AM,0.4
5-20-16 12:00 AM,0
5-20-16 12:00 AM,0.9
5-20-16 12:00 AM,5.8
5-20-16 12:00 AM,2.7
5-21-16 12:00 AM,1.3
5-21-16 12:00 AM,0
5-21-16 12:00 AM,8
5-21-16 12:00 AM,3.6
5-22-16 12:00 AM,0.4
5-22-16 12:00 AM,2.2
5-22-16 12:00 AM,4
5-23-16 12:00 AM,4.5
5-23-16 12:00 AM,8.5
5-23-16 12:00 AM,4.5
5-23-16 12:00 AM,1.8
5-24-16 12:00 AM,0
5-24-16 12:00 AM,5.8
5-24-16 12:00 AM,4
5-25-16 12:00 AM,2.7
5-25-16 12:00 AM,0
5-25-16 12:00 AM,3.6
5-25-16 12:00 AM,4
5-26-16 12:00 AM,0
5-26-16 12:00 AM,0.9
5-26-16 12:00 AM,0.4
5-26-16 12:00 AM,2.2
5-27-16 12:00 AM,1.8
5-27-16 12:00 AM,0
5-27-16 12:00 AM,3.1
5-27-16 12:00 AM,0
5-28-16 12:00 AM,0
