date,value
01-09-14,646
01-09-14,4411
01-09-14,646
01-09-14,4411
01-09-14,646
01-09-14,4411
01-09-14,646
01-09-14,4411
01-09-14,646
01-09-14,4411
01-09-14,124
01-09-14,996
01-08-14,152
01-08-14,3208
01-08-14,152
01-08-14,3208
01-08-14,152
01-08-14,3208
01-08-14,152
01-08-14,3208
01-08-14,152
01-08-14,3208
01-08-14,152
01-08-14,3208
01-08-14,152
01-08-14,3208
01-08-14,152
01-08-14,3208
01-08-14,69
01-08-14,998
01-07-14,664
01-07-14,1705
01-07-14,664
01-07-14,1705
01-07-14,664
01-07-14,1705
01-07-14,664
01-07-14,1705
01-07-14,664
01-07-14,1705
01-07-14,664
01-07-14,1705
01-07-14,664
01-07-14,1705
01-07-14,664
01-07-14,1705
01-07-14,211
01-07-14,993
01-06-14,1020
01-06-14,2381
01-06-14,1020
01-06-14,2381
01-06-14,1020
01-06-14,2381
01-06-14,1020
01-06-14,2381
01-06-14,1020
01-06-14,2381
01-06-14,1020
01-06-14,2381
01-06-14,1020
01-06-14,2381
01-06-14,1020
01-06-14,2381
01-06-14,381
01-06-14,996
01-05-14,1404
01-05-14,4822
01-05-14,1404
01-05-14,4822
01-05-14,1404
01-05-14,4822
01-05-14,1404
01-05-14,4822
01-05-14,1404
01-05-14,4822
01-05-14,1404
01-05-14,4822
01-05-14,1404
01-05-14,4822
01-05-14,1404
01-05-14,4822
01-05-14,168
01-05-14,998
01-04-14,726
01-04-14,4370
01-04-14,726
01-04-14,4370
01-04-14,239
01-04-14,726
01-04-14,4370
01-04-14,726
01-04-14,4370
01-04-14,239
01-04-14,726
01-04-14,4370
01-04-14,726
01-04-14,4370
01-04-14,239
01-04-14,726
01-04-14,4370
01-04-14,726
01-04-14,4370
01-04-14,239
01-04-14,127
01-04-14,996
01-03-14,2235
01-03-14,5376
01-03-14,2235
01-03-14,5376
01-03-14,180
01-03-14,2235
01-03-14,5376
01-03-14,2235
01-03-14,5376
01-03-14,180
01-03-14,2235
01-03-14,5376
01-03-14,2235
01-03-14,5376
01-03-14,180
01-03-14,2235
01-03-14,5376
01-03-14,2235
01-03-14,5376
01-03-14,180
01-03-14,996
01-03-14,998
01-02-14,48
01-02-14,2029
01-02-14,48
01-02-14,2029
01-02-14,361
01-02-14,48
01-02-14,2029
01-02-14,48
01-02-14,2029
01-02-14,361
01-02-14,48
01-02-14,2029
01-02-14,48
01-02-14,2029
01-02-14,361
01-02-14,48
01-02-14,2029
01-02-14,48
01-02-14,2029
01-02-14,361
01-02-14,48
01-02-14,993
01-01-14,505
01-01-14,6236
01-01-14,505
01-01-14,6236
01-01-14,279
01-01-14,505
01-01-14,6236
01-01-14,505
01-01-14,6236
01-01-14,279
01-01-14,505
01-01-14,6236
01-01-14,505
01-01-14,6236
01-01-14,279
01-01-14,505
01-01-14,6236
01-01-14,505
01-01-14,6236
01-01-14,279
01-01-14,152
01-01-14,998
01-12-13,191
01-12-13,2221
01-12-13,191
01-12-13,2221
01-12-13,1021
01-12-13,191
01-12-13,2221
01-12-13,191
01-12-13,2221
01-12-13,1021
01-12-13,191
01-12-13,2221
01-12-13,191
01-12-13,2221
01-12-13,1021
01-12-13,191
01-12-13,2221
01-12-13,191
01-12-13,2221
01-12-13,1021
01-12-13,94
01-12-13,998
01-11-13,108
01-11-13,2142
01-11-13,108
01-11-13,2142
01-11-13,108
01-11-13,2142
01-11-13,108
01-11-13,2142
01-11-13,108
01-11-13,2142
01-11-13,108
01-11-13,2142
01-11-13,108
01-11-13,2142
01-11-13,108
01-11-13,2142
01-11-13,74
01-11-13,993
01-10-13,16
01-10-13,2007
01-10-13,16
01-10-13,2007
01-10-13,10
01-10-13,16
01-10-13,2007
01-10-13,16
01-10-13,2007
01-10-13,10
01-10-13,16
01-10-13,2007
01-10-13,16
01-10-13,2007
01-10-13,10
01-10-13,16
01-10-13,2007
01-10-13,16
01-10-13,2007
01-10-13,10
01-10-13,5
01-10-13,993
01-09-13,24
01-09-13,29
01-09-13,24
01-09-13,29
01-09-13,24
01-09-13,29
01-09-13,24
01-09-13,29
01-09-13,24
01-09-13,29
01-09-13,24
01-09-13,29
01-09-13,24
01-09-13,29
01-09-13,24
01-09-13,29
01-09-13,5
01-09-13,8
01-08-13,40
01-08-13,2014
01-08-13,40
01-08-13,2014
01-08-13,40
01-08-13,2014
01-08-13,40
01-08-13,2014
01-08-13,40
01-08-13,2014
01-08-13,40
01-08-13,2014
01-08-13,40
01-08-13,2014
01-08-13,40
01-08-13,2014
01-08-13,18
01-08-13,993
01-07-13,66
01-07-13,3017
01-07-13,66
01-07-13,3017
01-07-13,66
01-07-13,3017
01-07-13,66
01-07-13,3017
01-07-13,66
01-07-13,3017
01-07-13,66
01-07-13,3017
01-07-13,66
01-07-13,3017
01-07-13,66
01-07-13,3017
01-07-13,15
01-07-13,993
01-06-13,54
01-06-13,3058
01-06-13,54
01-06-13,3058
01-06-13,54
01-06-13,3058
01-06-13,54
01-06-13,3058
01-06-13,54
01-06-13,3058
01-06-13,54
01-06-13,3058
01-06-13,54
01-06-13,3058
01-06-13,54
01-06-13,3058
01-06-13,18
01-06-13,998
01-05-13,101
01-05-13,3111
01-05-13,101
01-05-13,3111
01-05-13,101
01-05-13,3111
01-05-13,101
01-05-13,3111
01-05-13,101
01-05-13,3111
01-05-13,101
01-05-13,3111
01-05-13,101
01-05-13,3111
01-05-13,101
01-05-13,3111
01-05-13,20
01-05-13,998
01-04-13,211
